state_name,city_name,year,month,day_of_week,time_of_day,accident_severity,number_of_vehicles_involved,vehicle_type_involved,number_of_casualties,number_of_fatalities,weather_conditions,road_type,road_condition,lighting_conditions,traffic_control_presence,speed_limit_(km/h),driver_age,driver_gender,driver_license_status,alcohol_involvement,accident_location_details,day,month_name,hour,area_type
Jammu And Kashmir,Unknown,2021,May,Monday,01:46,Serious,5,Cycle,0,4,Hazy,National Highway,Wet,Dark,Signs,61,66,Male,Unknown,Yes,Curve,Monday,,,Rural
Uttar Pradesh,Lucknow,2018,January,Wednesday,21:30,Minor,5,Truck,5,4,Hazy,Urban Road,Dry,Dusk,Signs,92,60,Male,Unknown,Yes,Straight Road,Wednesday,,,Unknown
Chhattisgarh,Unknown,2023,May,Wednesday,05:37,Minor,5,Pedestrian,6,5,Foggy,National Highway,Under Construction,Dawn,Signs,120,26,Female,Unknown,No,Bridge,Wednesday,,,Rural
Uttar Pradesh,Lucknow,2020,June,Saturday,00:31,Minor,3,Bus,10,5,Rainy,State Highway,Dry,Dark,Signals,76,34,Female,Valid,Yes,Straight Road,Saturday,,,Unknown
Sikkim,Unknown,2021,August,Thursday,11:21,Minor,5,Cycle,7,1,Foggy,Urban Road,Wet,Dusk,Signs,115,30,Male,Unknown,No,Intersection,Thursday,,,Unknown
Meghalaya,Unknown,2020,November,Tuesday,08:04,Serious,1,Truck,6,2,Stormy,Village Road,Dry,Daylight,Police Checkpost,48,44,Male,Expired,Yes,Bridge,Tuesday,,,Unknown
Sikkim,Unknown,2021,October,Monday,18:55,Fatal,2,Two-Wheeler,9,5,Foggy,Urban Road,Under Construction,Dusk,Police Checkpost,111,48,Female,Unknown,No,Straight Road,Monday,,,Unknown
Himachal Pradesh,Unknown,2022,December,Wednesday,11:40,Minor,3,Truck,1,5,Clear,State Highway,Damaged,Dark,Police Checkpost,62,42,Female,Valid,No,Curve,Wednesday,,,Unknown
Rajasthan,Jodhpur,2021,July,Saturday,08:26,Fatal,3,Truck,7,1,Clear,Urban Road,Damaged,Dawn,Signs,35,53,Male,Valid,No,Straight Road,Saturday,,,Unknown
Rajasthan,Jodhpur,2018,August,Saturday,02:01,Fatal,2,Car,3,2,Foggy,State Highway,Under Construction,Dark,Signs,110,50,Female,Unknown,Yes,Straight Road,Saturday,,,Unknown
